analysis_id	leave_out_country_iso3	term	posterior_mean	posterior_sd	approx_ci_lower	approx_ci_upper	direction	n_country_year_rows	n_countries	n_genome_level_trials	model_status	warning_messages	notes
component_grouped_binomial_country_cluster_leave_one_country_out	USA	years_since_ap_anchor_z	6.809739	6.730727	-6.382486	20.001964	positive	17	10	154	warning	cov_type not fully supported with freq_weights	grouped_binomial_country_year_fraction_model_without_genome_row_expansion;covariance_type=country_cluster;country_cluster_robust_inference_used_when_available
component_grouped_binomial_country_cluster_leave_one_country_out	USA	prn_formulation_score_z	-32.500998	nan	nan	nan	negative	17	10	154	warning	cov_type not fully supported with freq_weights	grouped_binomial_country_year_fraction_model_without_genome_row_expansion;covariance_type=country_cluster;country_cluster_robust_inference_used_when_available
component_grouped_binomial_country_cluster_leave_one_country_out	USA	booster_score_z	42.571770	nan	nan	nan	positive	17	10	154	warning	cov_type not fully supported with freq_weights	grouped_binomial_country_year_fraction_model_without_genome_row_expansion;covariance_type=country_cluster;country_cluster_robust_inference_used_when_available
component_grouped_binomial_country_cluster_leave_one_country_out	USA	primary_ap_indicator_z	2.626183	nan	nan	nan	positive	17	10	154	warning	cov_type not fully supported with freq_weights	grouped_binomial_country_year_fraction_model_without_genome_row_expansion;covariance_type=country_cluster;country_cluster_robust_inference_used_when_available
component_grouped_binomial_country_cluster_leave_one_country_out	USA	post_covid_period_z	-2.102317	3.404315	-8.774774	4.570139	negative	17	10	154	warning	cov_type not fully supported with freq_weights	grouped_binomial_country_year_fraction_model_without_genome_row_expansion;covariance_type=country_cluster;country_cluster_robust_inference_used_when_available
component_grouped_binomial_country_cluster_leave_one_country_out	ZAF	Intercept	-3.208962	4.157696	-11.358047	4.940123	negative	23	10	804	warning	cov_type not fully supported with freq_weights	grouped_binomial_country_year_fraction_model_without_genome_row_expansion;covariance_type=country_cluster;country_cluster_robust_inference_used_when_available
component_grouped_binomial_country_cluster_leave_one_country_out	ZAF	dtp3_coverage_z	-1.794940	2.125258	-5.960447	2.370566	negative	23	10	804	warning	cov_type not fully supported with freq_weights	grouped_binomial_country_year_fraction_model_without_genome_row_expansion;covariance_type=country_cluster;country_cluster_robust_inference_used_when_available
component_grouped_binomial_country_cluster_leave_one_country_out	ZAF	log1p_reported_cases_z	-0.146339	0.989626	-2.086005	1.793328	negative	23	10	804	warning	cov_type not fully supported with freq_weights	grouped_binomial_country_year_fraction_model_without_genome_row_expansion;covariance_type=country_cluster;country_cluster_robust_inference_used_when_available
component_grouped_binomial_country_cluster_leave_one_country_out	ZAF	log1p_genomes_per_case_z	-5.769149	10.110260	-25.585258	14.046960	negative	23	10	804	warning	cov_type not fully supported with freq_weights	grouped_binomial_country_year_fraction_model_without_genome_row_expansion;covariance_type=country_cluster;country_cluster_robust_inference_used_when_available
component_grouped_binomial_country_cluster_leave_one_country_out	ZAF	years_since_ap_anchor_z	2.423857	1.184451	0.102333	4.745381	positive	23	10	804	warning	cov_type not fully supported with freq_weights	grouped_binomial_country_year_fraction_model_without_genome_row_expansion;covariance_type=country_cluster;country_cluster_robust_inference_used_when_available
component_grouped_binomial_country_cluster_leave_one_country_out	ZAF	prn_formulation_score_z	-43.846425	183.034830	-402.594693	314.901843	negative	23	10	804	warning	cov_type not fully supported with freq_weights	grouped_binomial_country_year_fraction_model_without_genome_row_expansion;covariance_type=country_cluster;country_cluster_robust_inference_used_when_available
component_grouped_binomial_country_cluster_leave_one_country_out	ZAF	booster_score_z	45.002070	nan	nan	nan	positive	23	10	804	warning	cov_type not fully supported with freq_weights	grouped_binomial_country_year_fraction_model_without_genome_row_expansion;covariance_type=country_cluster;country_cluster_robust_inference_used_when_available
component_grouped_binomial_country_cluster_leave_one_country_out	ZAF	primary_ap_indicator_z	7.257987	nan	nan	nan	positive	23	10	804	warning	cov_type not fully supported with freq_weights	grouped_binomial_country_year_fraction_model_without_genome_row_expansion;covariance_type=country_cluster;country_cluster_robust_inference_used_when_available
component_grouped_binomial_country_cluster_leave_one_country_out	ZAF	post_covid_period_z	-2.511882	0.569416	-3.627939	-1.395826	negative	23	10	804	warning	cov_type not fully supported with freq_weights	grouped_binomial_country_year_fraction_model_without_genome_row_expansion;covariance_type=country_cluster;country_cluster_robust_inference_used_when_available
